# time = 1000
#  1_posUnif        2_uvel_mean        3_uvel_rmsf
 2.22222E-01  1.88697E+01  1.63485E+00
 2.27778E-01  1.88328E+01  1.63802E+00
 2.33333E-01  1.87955E+01  1.64114E+00
 2.38889E-01  1.87577E+01  1.64427E+00
 2.44444E-01  1.87196E+01  1.64742E+00
 2.50000E-01  1.86812E+01  1.65057E+00
 2.55556E-01  1.86424E+01  1.65375E+00
 2.61111E-01  1.86033E+01  1.65692E+00
 2.66667E-01  1.85639E+01  1.66013E+00
 2.72222E-01  1.85242E+01  1.66342E+00
 2.77778E-01  1.84842E+01  1.66679E+00
 2.83333E-01  1.84440E+01  1.67013E+00
 2.88889E-01  1.84037E+01  1.67339E+00
 2.94444E-01  1.83632E+01  1.67650E+00
 3.00000E-01  1.83226E+01  1.67944E+00
 3.05556E-01  1.82819E+01  1.68224E+00
 3.11111E-01  1.82410E+01  1.68495E+00
 3.16667E-01  1.81999E+01  1.68760E+00
 3.22222E-01  1.81587E+01  1.69027E+00
 3.27778E-01  1.81172E+01  1.69299E+00
 3.33333E-01  1.80754E+01  1.69573E+00
 3.38889E-01  1.80334E+01  1.69855E+00
 3.44444E-01  1.79912E+01  1.70146E+00
 3.50000E-01  1.79488E+01  1.70442E+00
 3.55556E-01  1.79062E+01  1.70742E+00
 3.61111E-01  1.78633E+01  1.71055E+00
 3.66667E-01  1.78202E+01  1.71378E+00
 3.72222E-01  1.77769E+01  1.71707E+00
 3.77778E-01  1.77334E+01  1.72043E+00
 3.83333E-01  1.76895E+01  1.72394E+00
 3.88889E-01  1.76454E+01  1.72761E+00
 3.94444E-01  1.76009E+01  1.73145E+00
 4.00000E-01  1.75562E+01  1.73550E+00
 4.05556E-01  1.75112E+01  1.73981E+00
 4.11111E-01  1.74659E+01  1.74430E+00
 4.16667E-01  1.74203E+01  1.74883E+00
 4.22222E-01  1.73745E+01  1.75342E+00
 4.27778E-01  1.73285E+01  1.75819E+00
 4.33333E-01  1.72822E+01  1.76312E+00
 4.38889E-01  1.72356E+01  1.76812E+00
 4.44444E-01  1.71887E+01  1.77305E+00
 4.50000E-01  1.71417E+01  1.77796E+00
 4.55556E-01  1.70945E+01  1.78281E+00
 4.61111E-01  1.70470E+01  1.78761E+00
 4.66667E-01  1.69994E+01  1.79238E+00
 4.72222E-01  1.69515E+01  1.79731E+00
 4.77778E-01  1.69033E+01  1.80250E+00
 4.83333E-01  1.68548E+01  1.80797E+00
 4.88889E-01  1.68060E+01  1.81365E+00
 4.94444E-01  1.67569E+01  1.81944E+00
 5.00000E-01  1.67075E+01  1.82528E+00
 5.05556E-01  1.66578E+01  1.83132E+00
 5.11111E-01  1.66079E+01  1.83754E+00
